task_id	batch	dependencies	target_files	actions	hunk_ids	unit_ids	unit_ledger	pg18_chinese_source	old_english	new_english	historical_reference	status	acceptance	evidence
F20-0c5c61aa6f1a	1	"[""P20-INPUT""]"	"[""zh/20/ref/create_rule.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/create_rule.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/create_rule.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/create_rule.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0c60e15790f5	1	"[""P20-INPUT""]"	"[""zh/20/ref/start_transaction.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/start_transaction.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/start_transaction.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/start_transaction.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0e8ed56a5b0e	1	"[""P20-INPUT""]"	"[""zh/20/external-projects.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/external-projects.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/external-projects.sgml	/Users/vonng/pgsty/pgdoc/en/20/external-projects.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0ee7c8c25bd9	1	"[""P20-INPUT""]"	"[""zh/20/xplang.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/xplang.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/xplang.sgml	/Users/vonng/pgsty/pgdoc/en/20/xplang.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0f81ff9bd4b1	1	"[""P20-INPUT""]"	"[""zh/20/images/fixup-svg.xsl""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/images/fixup-svg.xsl	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/images/fixup-svg.xsl	/Users/vonng/pgsty/pgdoc/en/20/images/fixup-svg.xsl		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0fd4a6bd92b1	1	"[""P20-INPUT""]"	"[""zh/20/ref/fetch.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/fetch.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/fetch.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/fetch.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-108d68f7eff7	1	"[""P20-INPUT""]"	"[""zh/20/appendix-obsolete-recovery-config.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/appendix-obsolete-recovery-config.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/appendix-obsolete-recovery-config.sgml	/Users/vonng/pgsty/pgdoc/en/20/appendix-obsolete-recovery-config.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-10f435232f6b	1	"[""P20-INPUT""]"	"[""zh/20/ref/do.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/do.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/do.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/do.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-1408998088e4	1	"[""P20-INPUT""]"	"[""zh/20/stylesheet-speedup-xhtml.xsl""]"	"[""retain_project_customization""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/stylesheet-speedup-xhtml.xsl	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/stylesheet-speedup-xhtml.xsl	/Users/vonng/pgsty/pgdoc/en/20/stylesheet-speedup-xhtml.xsl		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-1434a791598c	1	"[""P20-INPUT""]"	"[""zh/20/ref/create_event_trigger.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/create_event_trigger.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/create_event_trigger.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/create_event_trigger.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-162b39e54420	1	"[""P20-INPUT""]"	"[""zh/20/ref/drop_opfamily.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/drop_opfamily.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/drop_opfamily.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/drop_opfamily.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-1a42dcc459da	1	"[""P20-INPUT""]"	"[""zh/20/stylesheet-text.xsl""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/stylesheet-text.xsl	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/stylesheet-text.xsl	/Users/vonng/pgsty/pgdoc/en/20/stylesheet-text.xsl		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-1ca9ef92f369	1	"[""P20-INPUT""]"	"[""zh/20/ref/alter_routine.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/alter_routine.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/alter_routine.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/alter_routine.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-1d12f01b1e1f	1	"[""P20-INPUT""]"	"[""zh/20/ref/create_access_method.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/create_access_method.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/create_access_method.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/create_access_method.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-1e8249064e7f	1	"[""P20-INPUT""]"	"[""zh/20/ref/alter_extension.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/alter_extension.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/alter_extension.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/alter_extension.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-1e89cdd7755c	1	"[""P20-INPUT""]"	"[""zh/20/lo.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/lo.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/lo.sgml	/Users/vonng/pgsty/pgdoc/en/20/lo.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-1fcce158906f	1	"[""P20-INPUT""]"	"[""zh/20/images/genetic-algorithm.svg""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/images/genetic-algorithm.svg	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/images/genetic-algorithm.svg	/Users/vonng/pgsty/pgdoc/en/20/images/genetic-algorithm.svg		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-20a7fac3be31	1	"[""P20-INPUT""]"	"[""zh/20/ref/drop_index.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/drop_index.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/drop_index.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/drop_index.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-2129f4a54263	1	"[""P20-INPUT""]"	"[""zh/20/ref/create_tstemplate.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/create_tstemplate.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/create_tstemplate.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/create_tstemplate.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-2151890f5be1	1	"[""P20-INPUT""]"	"[""zh/20/ref/drop_collation.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/drop_collation.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/drop_collation.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/drop_collation.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-2273118e20ea	1	"[""P20-INPUT""]"	"[""zh/20/keywords/sql2023-02-nonreserved.txt""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/keywords/sql2023-02-nonreserved.txt	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/keywords/sql2023-02-nonreserved.txt	/Users/vonng/pgsty/pgdoc/en/20/keywords/sql2023-02-nonreserved.txt		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-2298cdaa2957	1	"[""P20-INPUT""]"	"[""zh/20/appendix-obsolete-pgreceivexlog.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/appendix-obsolete-pgreceivexlog.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/appendix-obsolete-pgreceivexlog.sgml	/Users/vonng/pgsty/pgdoc/en/20/appendix-obsolete-pgreceivexlog.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-22f472ea05b6	1	"[""P20-INPUT""]"	"[""zh/20/indextypes.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/indextypes.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/indextypes.sgml	/Users/vonng/pgsty/pgdoc/en/20/indextypes.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-23e17ddf190b	1	"[""P20-INPUT""]"	"[""zh/20/ref/execute.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/execute.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/execute.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/execute.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-29589d6b2887	1	"[""P20-INPUT""]"	"[""zh/20/ref/drop_transform.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/drop_transform.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/drop_transform.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/drop_transform.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-2967f7c194d3	1	"[""P20-INPUT""]"	"[""zh/20/backup-manifest.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/backup-manifest.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/backup-manifest.sgml	/Users/vonng/pgsty/pgdoc/en/20/backup-manifest.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-2aab6399ec4d	1	"[""P20-INPUT""]"	"[""zh/20/keywords/sql1992-nonreserved.txt""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/keywords/sql1992-nonreserved.txt	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/keywords/sql1992-nonreserved.txt	/Users/vonng/pgsty/pgdoc/en/20/keywords/sql1992-nonreserved.txt		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-2b09d83178e1	1	"[""P20-INPUT""]"	"[""zh/20/ref/drop_language.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/drop_language.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/drop_language.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/drop_language.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
