task_id	stage	dependencies	versions	target_files	action	hunk_or_group_ids	english_sources	chinese_sources	owner	status	acceptance
G-001c37aeebd5489e3fad	3	FOUR-FILE-SKELETONS	13,12,11,10	pageinspect.sgml	translated	PG10-H008877,PG11-H007531,PG12-H007239,PG13-H006493	/Users/vonng/pgsty/pgdoc/en/13.23/pageinspect.sgml:138|/Users/vonng/pgsty/pgdoc/en/12.22/pageinspect.sgml:138|/Users/vonng/pgsty/pgdoc/en/11.22/pageinspect.sgml:138|/Users/vonng/pgsty/pgdoc/en/10.23/pageinspect.sgml:138		canonical:extensions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0020354ed9b5a6b2e690	3	FOUR-FILE-SKELETONS	12,11,10	func.sgml	translated	PG10-H002215,PG11-H000962,PG12-H000806	/Users/vonng/pgsty/pgdoc/en/12.22/func.sgml:20144|/Users/vonng/pgsty/pgdoc/en/11.22/func.sgml:18723|/Users/vonng/pgsty/pgdoc/en/10.23/func.sgml:18562		canonical:functions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0025912a324c02676a3b	3	FOUR-FILE-SKELETONS	13,12,11	ref/initdb.sgml	translated		/Users/vonng/pgsty/pgdoc/en/13.23/ref/initdb.sgml:45|/Users/vonng/pgsty/pgdoc/en/12.22/ref/initdb.sgml:47|/Users/vonng/pgsty/pgdoc/en/11.22/ref/initdb.sgml:47	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/ref/initdb.sgml	canonical:tail-assist-round07	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0025cbce1cd5b360de2f	3	FOUR-FILE-SKELETONS	13,12	release-13.sgml	translated	PG12-H008217,PG13-H007084	/Users/vonng/pgsty/pgdoc/en/13.23/release-13.sgml:22991|/Users/vonng/pgsty/pgdoc/en/12.22/release-12.sgml:16848		canonical:releases	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0025ebc491c1c1695fd4	3	FOUR-FILE-SKELETONS	13,12,11,10	bki.sgml	translated	PG10-H000287,PG11-H000094	/Users/vonng/pgsty/pgdoc/en/13.23/bki.sgml:1039|/Users/vonng/pgsty/pgdoc/en/12.22/bki.sgml:1039|/Users/vonng/pgsty/pgdoc/en/11.22/bki.sgml:946|/Users/vonng/pgsty/pgdoc/en/10.23/bki.sgml:345		canonical:root-tail	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0026eac8abea79e6c472	3	FOUR-FILE-SKELETONS	13,12,11,10	release-13.sgml	translated	PG10-H012448,PG11-H008761,PG12-H008217,PG13-H007084	/Users/vonng/pgsty/pgdoc/en/13.23/release-13.sgml:17534|/Users/vonng/pgsty/pgdoc/en/12.22/release-12.sgml:12139|/Users/vonng/pgsty/pgdoc/en/11.22/release-11.sgml:6934|/Users/vonng/pgsty/pgdoc/en/10.23/release-10.sgml:3411		canonical:releases	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-002866755304895a98be	3	FOUR-FILE-SKELETONS	10	ref/select.sgml	reuse	PG10-H012265	/Users/vonng/pgsty/pgdoc/en/10.23/ref/select.sgml:1775		canonical:tail-assist-round04	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0030a86d067a3822db5c	3	FOUR-FILE-SKELETONS	13,12,11	ref/show.sgml	translated		/Users/vonng/pgsty/pgdoc/en/13.23/ref/show.sgml:107|/Users/vonng/pgsty/pgdoc/en/12.22/ref/show.sgml:107|/Users/vonng/pgsty/pgdoc/en/11.22/ref/show.sgml:107		canonical:tail-assist-round04	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0032e3a37c1b315fc52e	3	FOUR-FILE-SKELETONS	13,12,11,10	fdwhandler.sgml	translated	PG10-H002074	/Users/vonng/pgsty/pgdoc/en/13.23/fdwhandler.sgml:1181|/Users/vonng/pgsty/pgdoc/en/12.22/fdwhandler.sgml:1181|/Users/vonng/pgsty/pgdoc/en/11.22/fdwhandler.sgml:1166|/Users/vonng/pgsty/pgdoc/en/10.23/fdwhandler.sgml:1079		canonical:procedural-interfaces	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0034cf91d160e0e53979	3	FOUR-FILE-SKELETONS	12	func.sgml	translated	PG12-H000761	/Users/vonng/pgsty/pgdoc/en/12.22/func.sgml:13397		canonical:functions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-003a5f59ce332930c2e3	3	FOUR-FILE-SKELETONS	12,11,10	cube.sgml	literal_reviewed	PG10-H001085,PG11-H000518,PG12-H000404	/Users/vonng/pgsty/pgdoc/en/12.22/cube.sgml:174|/Users/vonng/pgsty/pgdoc/en/11.22/cube.sgml:174|/Users/vonng/pgsty/pgdoc/en/10.23/cube.sgml:174		canonical:extensions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00410291da583930eeb8	3	FOUR-FILE-SKELETONS	10	ref/psql-ref.sgml	partial_reuse	PG10-H011967	/Users/vonng/pgsty/pgdoc/en/10.23/ref/psql-ref.sgml:1412		canonical:tail-assist-round05	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-004774ebb25d20e4a357	3	FOUR-FILE-SKELETONS	13,12,11,10	libpq.sgml	translated	PG10-H007170,PG11-H006140,PG12-H005992,PG13-H005521	/Users/vonng/pgsty/pgdoc/en/13.23/libpq.sgml:5174|/Users/vonng/pgsty/pgdoc/en/12.22/libpq.sgml:5360|/Users/vonng/pgsty/pgdoc/en/11.22/libpq.sgml:5239|/Users/vonng/pgsty/pgdoc/en/10.23/libpq.sgml:5170	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/libpq.sgml	canonical:client-protocol	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-004e1177aab7bb831779	3	FOUR-FILE-SKELETONS	13,12,11,10	rules.sgml	translated		/Users/vonng/pgsty/pgdoc/en/13.23/rules.sgml:1657|/Users/vonng/pgsty/pgdoc/en/12.22/rules.sgml:1656|/Users/vonng/pgsty/pgdoc/en/11.22/rules.sgml:1656|/Users/vonng/pgsty/pgdoc/en/10.23/rules.sgml:1656		canonical:tail-assist-round03	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0051359b030a7d6704c3	3	FOUR-FILE-SKELETONS	11,10	release-11.sgml	reuse_release_note	PG10-H012448,PG11-H008761	/Users/vonng/pgsty/pgdoc/en/11.22/release-11.sgml:10374|/Users/vonng/pgsty/pgdoc/en/10.23/release-10.sgml:6349		canonical:releases	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-005b853cfe87f784908e	3	FOUR-FILE-SKELETONS	11,10	release-11.sgml	translated	PG10-H012448,PG11-H008761	/Users/vonng/pgsty/pgdoc/en/11.22/release-11.sgml:19392|/Users/vonng/pgsty/pgdoc/en/10.23/release-10.sgml:13807		canonical:releases	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-005c4134a728d255a2ea	3	FOUR-FILE-SKELETONS	12,11,10	libpq.sgml	reused_reviewed	PG10-H007156,PG11-H006128,PG12-H005976	/Users/vonng/pgsty/pgdoc/en/12.22/libpq.sgml:4881|/Users/vonng/pgsty/pgdoc/en/11.22/libpq.sgml:4761|/Users/vonng/pgsty/pgdoc/en/10.23/libpq.sgml:4692	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/libpq.sgml	canonical:client-protocol	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-005c6908e225429c65b2	3	FOUR-FILE-SKELETONS	13,12,11,10	plpython.sgml	translated	PG10-H009413,PG11-H007707	/Users/vonng/pgsty/pgdoc/en/13.23/plpython.sgml:670|/Users/vonng/pgsty/pgdoc/en/12.22/plpython.sgml:670|/Users/vonng/pgsty/pgdoc/en/11.22/plpython.sgml:670|/Users/vonng/pgsty/pgdoc/en/10.23/plpython.sgml:655		canonical:procedural-interfaces	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-005c80315b2604c62d9a	3	FOUR-FILE-SKELETONS	13,12,11,10	config.sgml	translated		/Users/vonng/pgsty/pgdoc/en/13.23/config.sgml:9135|/Users/vonng/pgsty/pgdoc/en/12.22/config.sgml:8792|/Users/vonng/pgsty/pgdoc/en/11.22/config.sgml:7843|/Users/vonng/pgsty/pgdoc/en/10.23/config.sgml:7465		canonical:config	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-005f9120cc97a02d145d	3	FOUR-FILE-SKELETONS	10	ref/pgbench.sgml	translated	PG10-H011765	/Users/vonng/pgsty/pgdoc/en/10.23/ref/pgbench.sgml:627	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/ref/pgbench.sgml	canonical:tail-assist-round05	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0063164791e21661676d	3	FOUR-FILE-SKELETONS	13,12,11,10	func.sgml	translated	PG10-H002149,PG11-H000917,PG12-H000761,PG13-H000490	/Users/vonng/pgsty/pgdoc/en/13.23/func.sgml:9742|/Users/vonng/pgsty/pgdoc/en/12.22/func.sgml:8461|/Users/vonng/pgsty/pgdoc/en/11.22/func.sgml:8099|/Users/vonng/pgsty/pgdoc/en/10.23/func.sgml:7971		canonical:functions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00638e94162c5b6060bf	3	FOUR-FILE-SKELETONS	13,12,11,10	runtime.sgml	translated	PG10-H012597,PG11-H008808,PG12-H008261,PG13-H007100	/Users/vonng/pgsty/pgdoc/en/13.23/runtime.sgml:1482|/Users/vonng/pgsty/pgdoc/en/12.22/runtime.sgml:1583|/Users/vonng/pgsty/pgdoc/en/11.22/runtime.sgml:1543|/Users/vonng/pgsty/pgdoc/en/10.23/runtime.sgml:1528		canonical:installation-runtime	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0068fdc2e6e61733802f	3	FOUR-FILE-SKELETONS	11,10	catalogs.sgml	translated	PG10-H000347,PG11-H000138	/Users/vonng/pgsty/pgdoc/en/11.22/catalogs.sgml:2441|/Users/vonng/pgsty/pgdoc/en/10.23/catalogs.sgml:2382		canonical:catalogs	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-006ab26927f0e2912e8f	3	FOUR-FILE-SKELETONS	11,10	fdwhandler.sgml	translated	PG10-H002066,PG11-H000849	/Users/vonng/pgsty/pgdoc/en/11.22/fdwhandler.sgml:378|/Users/vonng/pgsty/pgdoc/en/10.23/fdwhandler.sgml:377		canonical:procedural-interfaces	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-007843f64dbf9197b5d9	3	FOUR-FILE-SKELETONS	12	func.sgml	translated	PG12-H000761	/Users/vonng/pgsty/pgdoc/en/12.22/func.sgml:13394		canonical:functions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-007dbf9456aef46da5e2	3	FOUR-FILE-SKELETONS	13,12,11,10	typeconv.sgml	partial_reuse		/Users/vonng/pgsty/pgdoc/en/13.23/typeconv.sgml:1185|/Users/vonng/pgsty/pgdoc/en/12.22/typeconv.sgml:1186|/Users/vonng/pgsty/pgdoc/en/11.22/typeconv.sgml:1186|/Users/vonng/pgsty/pgdoc/en/10.23/typeconv.sgml:1186	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/typeconv.sgml	canonical:tail-assist-round02	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-007fb13509db9dc9bf2e	3	FOUR-FILE-SKELETONS	13,12,11	ref/psql-ref.sgml	translated		/Users/vonng/pgsty/pgdoc/en/13.23/ref/psql-ref.sgml:1928|/Users/vonng/pgsty/pgdoc/en/12.22/ref/psql-ref.sgml:1835|/Users/vonng/pgsty/pgdoc/en/11.22/ref/psql-ref.sgml:1786		canonical:psql-pgbench	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0081297ccfbaefd46a0c	3	FOUR-FILE-SKELETONS	13,12,11,10	logicaldecoding.sgml	translated		/Users/vonng/pgsty/pgdoc/en/13.23/logicaldecoding.sgml:577|/Users/vonng/pgsty/pgdoc/en/12.22/logicaldecoding.sgml:577|/Users/vonng/pgsty/pgdoc/en/11.22/logicaldecoding.sgml:577|/Users/vonng/pgsty/pgdoc/en/10.23/logicaldecoding.sgml:567		canonical:core-internals	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-008b94575746726c8afc	3	FOUR-FILE-SKELETONS	13,12,11	client-auth.sgml	translated		/Users/vonng/pgsty/pgdoc/en/13.23/client-auth.sgml:1877|/Users/vonng/pgsty/pgdoc/en/12.22/client-auth.sgml:1876|/Users/vonng/pgsty/pgdoc/en/11.22/client-auth.sgml:1811		canonical:operations	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-008ecb7a8e71090d9228	3	FOUR-FILE-SKELETONS	12,11,10	hstore.sgml	translated	PG10-H002410,PG11-H001078,PG12-H000912	/Users/vonng/pgsty/pgdoc/en/12.22/hstore.sgml:188|/Users/vonng/pgsty/pgdoc/en/11.22/hstore.sgml:188|/Users/vonng/pgsty/pgdoc/en/10.23/hstore.sgml:188		canonical:extensions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-009a6e3385679c36724a	3	FOUR-FILE-SKELETONS	13,12,11,10	datatype.sgml	translated		/Users/vonng/pgsty/pgdoc/en/13.23/datatype.sgml:4398|/Users/vonng/pgsty/pgdoc/en/12.22/datatype.sgml:4334|/Users/vonng/pgsty/pgdoc/en/11.22/datatype.sgml:4309|/Users/vonng/pgsty/pgdoc/en/10.23/datatype.sgml:4303		canonical:sql-body	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-009d28a9e1d2ab138a69	3	FOUR-FILE-SKELETONS	10	ddl.sgml	translated	PG10-H001463	/Users/vonng/pgsty/pgdoc/en/10.23/ddl.sgml:3414		canonical:ddl	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00a59f012a1d38a473d9	3	FOUR-FILE-SKELETONS	12,11,10	func.sgml	translated	PG10-H002221,PG11-H000974,PG12-H000818	/Users/vonng/pgsty/pgdoc/en/12.22/func.sgml:21226|/Users/vonng/pgsty/pgdoc/en/11.22/func.sgml:19743|/Users/vonng/pgsty/pgdoc/en/10.23/func.sgml:19560		canonical:functions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00ab53c6289d857890c1	3	FOUR-FILE-SKELETONS	13,12,11,10	pgcrypto.sgml	translated	PG10-H009021,PG11-H007592,PG12-H007290,PG13-H006515	/Users/vonng/pgsty/pgdoc/en/13.23/pgcrypto.sgml:522|/Users/vonng/pgsty/pgdoc/en/12.22/pgcrypto.sgml:516|/Users/vonng/pgsty/pgdoc/en/11.22/pgcrypto.sgml:516|/Users/vonng/pgsty/pgdoc/en/10.23/pgcrypto.sgml:516	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/pgcrypto.sgml	canonical:extensions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00b214608235a0102b99	3	FOUR-FILE-SKELETONS	11	release-11.sgml	translated	PG11-H008761	/Users/vonng/pgsty/pgdoc/en/11.22/release-11.sgml:22906		canonical:releases	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00b22152672fee890058	3	FOUR-FILE-SKELETONS	10	release-10.sgml	translated	PG10-H012448	/Users/vonng/pgsty/pgdoc/en/10.23/release-10.sgml:16435		canonical:releases	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00b22f2edba7f392a8f9	3	FOUR-FILE-SKELETONS	12	release-12.sgml	translated	PG12-H008217	/Users/vonng/pgsty/pgdoc/en/12.22/release-12.sgml:26265		canonical:releases	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00b3c74897fe56d63e53	3	FOUR-FILE-SKELETONS	10	ref/alter_trigger.sgml	translated		/Users/vonng/pgsty/pgdoc/en/10.23/ref/alter_trigger.sgml:41	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/ref/alter_trigger.sgml	canonical:reference-commands	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00b57d3cbbccd657c99d	3	FOUR-FILE-SKELETONS	10	ref/copy.sgml	reused_reviewed	PG10-H010363	/Users/vonng/pgsty/pgdoc/en/10.23/ref/copy.sgml:710	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/ref/copy.sgml	canonical:tail-final-round11	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00b7db4a5c8f36c9c4ce	3	FOUR-FILE-SKELETONS	13,12,11,10	config.sgml	translated		/Users/vonng/pgsty/pgdoc/en/13.23/config.sgml:9127|/Users/vonng/pgsty/pgdoc/en/12.22/config.sgml:8784|/Users/vonng/pgsty/pgdoc/en/11.22/config.sgml:7835|/Users/vonng/pgsty/pgdoc/en/10.23/config.sgml:7457		canonical:config	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00b95d3c637a47630814	3	FOUR-FILE-SKELETONS	11,10	libpq.sgml	translated	PG10-H007201,PG11-H006170	/Users/vonng/pgsty/pgdoc/en/11.22/libpq.sgml:6020|/Users/vonng/pgsty/pgdoc/en/10.23/libpq.sgml:5951		canonical:client-protocol	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00bb10b7cc3cf9db5d27	3	FOUR-FILE-SKELETONS	11,10	indexam.sgml	reused_reviewed	PG10-H006636,PG11-H005755	/Users/vonng/pgsty/pgdoc/en/11.22/indexam.sgml:738|/Users/vonng/pgsty/pgdoc/en/10.23/indexam.sgml:716	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/indexam.sgml	canonical:index-methods	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00c20ffd4ca312deb9aa	3	FOUR-FILE-SKELETONS	12,11,10	func.sgml	literal_reviewed	PG10-H002147,PG11-H000915,PG12-H000759	/Users/vonng/pgsty/pgdoc/en/12.22/func.sgml:2044|/Users/vonng/pgsty/pgdoc/en/11.22/func.sgml:1934|/Users/vonng/pgsty/pgdoc/en/10.23/func.sgml:1934		canonical:functions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00c87b9e3ad057d70f37	3	FOUR-FILE-SKELETONS	12,11,10	func.sgml	translated	PG10-H002216,PG11-H000963,PG12-H000807	/Users/vonng/pgsty/pgdoc/en/12.22/func.sgml:20224|/Users/vonng/pgsty/pgdoc/en/11.22/func.sgml:18803|/Users/vonng/pgsty/pgdoc/en/10.23/func.sgml:18642		canonical:functions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00cbd984c381e9759e0c	3	FOUR-FILE-SKELETONS	13,12,11	ref/alter_materialized_view.sgml	translated	PG11-H007872,PG12-H007520,PG13-H006680	/Users/vonng/pgsty/pgdoc/en/13.23/ref/alter_materialized_view.sgml:72|/Users/vonng/pgsty/pgdoc/en/12.22/ref/alter_materialized_view.sgml:78|/Users/vonng/pgsty/pgdoc/en/11.22/ref/alter_materialized_view.sgml:78	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/ref/alter_materialized_view.sgml	canonical:reference-commands	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00cc147174a9c20a3029	3	FOUR-FILE-SKELETONS	13,12,11,10	catalogs.sgml	translated	PG10-H000367,PG11-H000160,PG12-H000121,PG13-H000108	/Users/vonng/pgsty/pgdoc/en/13.23/catalogs.sgml:4195|/Users/vonng/pgsty/pgdoc/en/12.22/catalogs.sgml:3770|/Users/vonng/pgsty/pgdoc/en/11.22/catalogs.sgml:3744|/Users/vonng/pgsty/pgdoc/en/10.23/catalogs.sgml:3661	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/catalogs.sgml	canonical:catalogs	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
