原序号	English	保留字面形式	使用规则
91	combine function	按语境	只用于聚合机制中的 combine function，合并部分聚合状态；不是普通函数复合，也不是合并最终结果值。combinefunc 等参数名保留。采用时与同词族同步 xaggr、CREATE AGGREGATE 和并行查询相关说明，按英文逐处核对。
92	command id	按语境	标识符 cid 保留。
93	Commit Log	按语境	首次可写事务提交状态日志。
94	compaction	按语境	LSM 文件压实、日志压实按对象组词；不直接改成压缩。
95	complexity	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
96	composite type	按语境	说明性正文统一译复合类型；代码、类型和对象名称保持原样。
97	Concurrent Vacuum	按语境	与 parallel vacuum 严格区分。
98	connection string	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
99	Consensus	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
100	consistency	按语境	应由原文说明是哪一种一致性模型。
101	Consistent Prefix Reads	按语境	不要解释为所有副本始终读到最新值。
102	constraint	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
103	constraint escape	按语境	正则表达式中的零宽约束转义，不是数据库表约束。
104	Constraint exclusion	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
105	constraint trigger	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
106	content_lock	是	标识符保留；正文首用 content_lock（内容锁）。
107	continuous archiving	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
108	correctness	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
109	Correlation	按语境	pg_stats.correlation 字段保留。
110	Cost	按语境	EXPLAIN 的 cost 字段和数值保持原样。
111	Cost Estimation	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
112	cost-based	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
113	crash recovery	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
114	current row	按语境	窗口帧语境还须解释 RANGE/GROUPS 对同值行的处理。
115	cursor	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
116	data area	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
117	data change trigger	按语境	区别事件触发器。
118	Data Corruption	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
119	data directory	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
120	database	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
121	database cluster	按语境	一个服务实例管理的一组数据库；分布式 cluster 则按上下文译集群。
122	database objects	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
123	Databases	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
124	dead tuple	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
125	deadlock	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
126	Deduplication	按语境	B-tree 场景可说明重复键项的紧凑表示。
127	default B-tree operator class	按语境	说明性正文译为默认 B-树操作符类；具体操作符类标识符和 btree 访问方法名保持原样，不对概念 B-tree 强制保留英文。
128	defragmentation	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
129	deparsing	按语境	不称反序列化；不保证逐字还原原 SQL。
130	dependency graph	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
131	derived data	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
132	deserialization function	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
133	Direct I/O	按语境	不能仅凭名称推断所有缓存都被绕过。
134	dirty bit	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
135	dirty page	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
136	Dirty Reads	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
137	discrete percentile	按语境	percentile_disc 函数名保留。
138	Distinct Values	按语境	表示按相等关系区分后的互异取值，如 n_distinct 所估计的基数；不表示只出现一次的值，也不把 SQL DISTINCT 关键字译写。
139	DTrace probe	按语境	DTrace 保留原名。
140	DTrace probes	按语境	DTrace 保留原名；复数不需要额外中文数量词。
141	durability	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
142	eager mode	按语境	仅限 eager/lazy 执行或求值模式对照；eager freezing 按对应 PG 版本写积极冻结，不能机械套急切模式。
143	elasticity	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
144	embedded options	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
145	end-to-end	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
146	end-to-end argument	按语境	首用 端到端原则（end-to-end argument）。
147	enum type	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
148	equi-join	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
149	equivalence class	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
150	Escapes	按语境	字符与正则表达式语境译转义；escape analysis 等其他术语不逐字套用。
151	ETL	是	正文保留 ETL；首用 提取、转换、加载（ETL）。
152	event triggers	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
153	eventual consistency	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
154	evolvability	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
155	exactly-once semantics	按语境	不要把消息投递、处理和外部副作用都默认为恰好一次。
156	Example	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
157	Examples	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
158	Exclusion Constraints	按语境	排除约束是可接受别称，本次不据偏好替换。
159	Exclusive Modes	按语境	具体 ACCESS EXCLUSIVE 等枚举仍保留原样。
160	Executor	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
161	Expression Statistics	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
162	Extended Expression Statistics	按语境	区分表达式统计与跨表达式的多变量统计。
163	Extended Query Protocol	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
164	extension	按语境	扩展对象名如 pg_trgm 不翻译。
165	External Sorting	按语境	与内存排序对照。
166	failover	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
167	failure	按语境	不能用一个固定中文覆盖设备故障、请求失败和部件失效。
168	false negative	按语境	本表采用软件检索语境，不宜跨专业替换。
169	false positive	按语境	Bloom 场景指误判存在，而非漏掉存在项。
170	false-negative	按语境	统计学语境可用假阴性。
171	false-positive	按语境	统计学语境可用假阳性。
172	fan-out	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
173	Fast Shutdown	按语境	fast 为具体参数值时保留原文。
174	Fault Tolerance	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
175	FDW	是	正文保留 FDW；首用 外部数据包装器（FDW）。
176	field selection	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
177	Files and Forks	按语境	Rogov 章节标题；首用可写 分支（fork）。
178	final function	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
179	first-committer-win	按语境	中文译为以先提交者为准，恢复原表词头 first-committer-win；first-committer-wins 保留为检索别名。文献、代码中的实际拼写保持原样，具体并发裁决规则以来源文献为准。
180	first-updater-win	按语境	中文译为以先更新者为准，恢复原表词头 first-updater-win；first-updater-wins 保留为检索别名。文献、代码中的实际拼写保持原样，不推广成所有隔离级别的统一规则。
181	flow control	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
182	flush	按语境	存储语境按上下文写刷盘或写出缓冲数据，是否已持久化看具体操作保证；网络或输出缓冲区写发送或刷新缓冲数据，不解释成丢弃内容。Flush 消息和 PQflush 保留。
183	followers	按语境	leader/follower 协议角色；不等同 PG 主备。
184	foreign data	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
185	Foreign Data Wrapper	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
186	foreign key	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
187	foreign server	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
188	Foreign Table	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
189	fork	按语境	关系存储中译分支，首用可写分支（fork）；fork()、代码名及 Git 项目 fork 分别按语境处理。
190	fork number	按语境	代码 ForkNumber、forkNum 保留。
191	format code	按语境	若是字段名或取值 0/1，字面形式保留。
192	format specifiers	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
193	free space	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
194	free space map	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
195	Frozen txid	按语境	常量 FrozenTransactionId 保留。
196	FSM	是	正文保留 FSM；首用 空闲空间映射（FSM）。
197	FULL VACUUM	按语境	FULL VACUUM / Full VACUUM 在处理模式标题中译完全清理；实际 SQL 命令为 VACUUM FULL，保持原样。与原序号 97 Concurrent Vacuum 对照。
198	Full Vacuuming	按语境	原文描述重写表的完全清理操作时适用。
199	full-page image	按语境	WAL 中的 full-page image 译为整页镜像，恢复原译；函数、配置和输出保持原样。前映像、后映像及其他 image 词条不属于本条回退范围。
200	full-page write	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
201	Full-Text Search	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
202	function calls	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
203	functional notation	按语境	不要误读为函数式编程范式。
204	functionally dependent	按语境	表达 X 决定 Y；不等同相关性。
205	generated column	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
206	gossip protocol	按语境	流言协议（gossip protocol）；不要视为未经证实的数据。
207	grouping sets	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
208	handshaking	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
209	hardware faults	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
210	Hash Join	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
211	hash slots	按语境	例如 Redis 槽不等同 PG 哈希表的任意桶。
212	head-of-line blocking	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
213	header data	按语境	header data 译为首部数据；PageHeaderData 等类型名保留。页头、元组头等其他完整词组继续按各自词条处理。
214	heap	按语境	必须由所在章节说明所指对象。
215	heap-only tuple	按语境	首用堆内元组（heap-only tuple，HOT）；说明 HOT 新元组不为其单独创建普通索引项，索引相关条件及汇总索引例外按对应版本解释；仅堆元组作中文别称。旧英文 heap only tuple 仅作词头检索。
216	Heap Scan	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
217	heap table	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
218	Heap Truncation	按语境	VACUUM 尾部空页回收语境。
219	heap tuples	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
220	Heap Vacuuming	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
221	heap-only tuple updates	按语境	首用写 堆内元组更新（HOT 更新）；HOT 与代码标识符保持原样；exclude.tsv 已含 HOT 更新。
222	Heavyweight Locks	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
223	heuristic decisions	按语境	不要将其简单解释为使用智能优化算法。
224	hierarchical model	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
225	hint	按语境	代码、日志等级或关键字 HINT 保留。
226	hint bits	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
227	Histogram	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
228	histogram_bounds	是	列名保留。
229	hole	按语境	根据原文说明空洞所在对象。
230	HOT	是	正文保留 HOT；首用写 堆内元组（HOT），描述优化行为时写 HOT 更新；仅堆元组作中文别称。
231	hot standby	按语境	hot_standby 配置项保留；不能据“热备”推断复制一定同步。
232	hot-standby	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
233	hybrid hash join	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
234	hypothetical-set aggregate	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
235	I/O conversion cast	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
236	Idempotence	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
237	idempotent	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
238	identity column	按语境	标识列不自动意味着唯一约束或主键约束。
239	Immediate Shutdown	按语境	参数 immediate 保留；机制说明另写。
240	implicit cast	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
241	implicit transaction block	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
242	Inclusion Classes	按语境	Inclusion 操作符类汇总一个能包含块范围中全部值的值；*_inclusion_ops 等名称保持原样。
243	incremental backup	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
244	Incremental Sorting	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
245	index	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
246	Index Access Methods	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
247	index column	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
248	index correlation	按语境	数值指标可写索引相关系数，不能误读为两个索引间相关性。
249	index filter predicate	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
250	Index Scans	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
251	Index Vacuuming	按语境	用于说明性正文，译为索引清理。与 index cleanup 阶段并列时，将后者写成索引收尾清理，避免两个不同阶段均写成索引清理；代码、关键字、对象名及原始输出保持原样。
252	Index-Level Properties	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
253	index-only scan	按语境	可见性映射不足时仍须堆访问。
254	indexed nested loop join	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
255	inline handler	按语境	不要等同编译器内联优化。
256	intermediate table	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
257	invariants	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
258	inverse transition function	按语境	移动聚合中从状态移除移出窗口的输入贡献；minvfunc 参数名保留，不能直接理解成任意转换函数的数学逆函数。采用时与同词族同步 xaggr、CREATE AGGREGATE 和并行查询相关说明，按英文逐处核对。
259	invisible	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
260	io_in_progress	是	标识符保留；PG 18 常量为 BM_IO_IN_PROGRESS。
261	io_in_progress_lock	是	历史内部名称的释义；io_in_progress_lock 原样保留，不能据此断言 PG 18 有同名字段或仍沿用旧同步实现。
262	isolation	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
263	item pointer	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
264	JOIN	是	JOIN 原样保留；普通 join 译连接。
265	join condition	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
266	join method	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
267	Join Types and Methods	按语境	标题采用连接类型和方式；句中按原文对象与语法表达，不扩展替换其他和/与、方式/方法用法。
268	jsonb_ops Operator Class	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
269	jsonb_path_ops Operator Class	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
270	Julian Date	按语境	处理编号与日历体系时按原文精确区分。
271	LABEL	是	backup_label 字段保留；普通 label 译标签。
272	latch	按语境	首用锁存器（latch，进程等待与唤醒机制）；PG Latch 是可置位、复位和等待的标志，不等同其他 DBMS 的互斥闩锁。Latch 和 WaitLatch 等名称保留。
273	latency	按语境	按原文测量边界定义。
274	Latest Checkpoint Location	按语境	翻译说明性表头可用最新检查点位置；输出样例保持原样。
275	lazy mode	按语境	与急切模式配对；lazy vacuum 仍为惰性清理。
276	lazy vacuum	按语境	源码 lazy_* 名称不翻译；不要简单等同自动清理。
277	leader	按语境	首次可写领导者（leader）；若明确是 PostgreSQL 主库才按主库处理。
278	leader-based replication	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
279	leaderless	按语境	leaderless replication 写无主复制。
280	Lightweight Locks	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
281	line pointer	按语境	不要把它理解成行内容本身；ItemIdData 保留。
282	linearizability	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
283	load	按语境	不能全局替换英文 load。
284	Local Cache	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
285	locale	按语境	locale 名称与 LC_* 变量保留。
286	Lock Design	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
287	locking clauses	按语境	FOR UPDATE、NOWAIT 等字面语法保留。
288	log compaction	按语境	日志压实指按键保留相应最新状态的清理策略，不是通用字节压缩；旧译日志压缩可作带英文的别称。具体 tombstone 和保留保证以 Kafka 文档为准。
289	Log Sequence Number	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
290	log-structured	按语境	不等同“记录了日志的”；LSM 的完整名称另行翻译。
291	logical decoding	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
292	logical replication	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
293	Logical Structure	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
294	loose coupling	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
295	Lost Update	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
296	LSN	是	正文保留 LSN。
297	LWW	是	正文保留 LWW；首用最后写入胜出（LWW）；最后通常由协议使用的时间戳或版本顺序确定，不等同最后到达服务器。
298	main data	按语境	必要时写主要数据区；若为源码字段名保持原样。
299	maintainability	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
300	marshalling	按语境	首次可补 marshalling；不译成一般调度。
301	master	按语境	仅复制角色；pgcrypto 的 master key 译主密钥。
302	master/slave	按语境	历史术语，不改写为其他协议角色。
303	materialization	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
304	Materialize	按语境	节点首次可写 Materialize（物化）。
305	Materialized Merge Join	按语境	指物化一侧输入以便重用的归并连接变体，物化发生时机和范围由具体执行器决定。Materialize 节点名保留。
306	materialized nested loop join	按语境	指物化内侧输入以便重新扫描时重用的嵌套循环连接变体，实际物化时机以执行器为准。
307	Materializing conflicts	按语境	DDIA 第 7 章语境。
308	MCV	是	正文保留 MCV。
309	median	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
310	Merge Join	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
311	Merging Sorted Sets	按语境	Rogov 章节标题。
312	migration	按语境	数据库模式迁移不能误作操作系统迁移。
313	Minmax Classes	按语境	首用可释义为存储范围内最小/最大值的操作符类。
314	Minmax-Multi Classes	按语境	首用可释义为存储多个区间最小/最大值的操作符类；不是多列索引。
315	Miscellaneous Locks	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
316	monotonic reads	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
317	Most Common Value	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
318	Most Common Values	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
319	most_common_freqs	是	列名保留。
320	most_common_vals	是	系统目录或视图列名 most_common_vals 保留；中文解释其存放高频值。
321	moving-aggregate mode	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
322	multi-table index cluster tables	按语境	Oracle 对比语境；不表示 PG 提供此结构。
323	Multi-version Concurrency Control	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
324	Multitransactions	按语境	首用 多事务（multitransaction，MultiXact）；不是组提交。正文中表示同一对象的 multixact、multixacts 也采用多事务，包括年龄单位、ID 回卷、清理动作和数量；真实参数名、字段名及 pg_multixact 路径保持原样。
325	Multivariate Statistics	按语境	扩展统计对象语境。
326	multiversion concurrency control	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
